Bacteria, Penicillin, Streptomycin, Neomycin, Gram
Mycobacterium tuberculosis,800,5,2,negative
Salmonella schottmuelleri,10,0.8,0.09,negative
Proteus vulgaris,3,0.1,0.1,negative
Klebsiella pneumoniae,850,1.2,1,negative
Brucella abortus,1,2,0.02,negative
Pseudomonas aeruginosa,850,2,0.4,negative
Escherichia coli,100,0.4,0.1,negative
Salmonella (Eberthella) typhosa,1,0.4,0.008,negative
Aerobacter aerogenes,870,1,1.6,negative
Brucella antracis,0.001,0.01,0.007,positive
Streptococcus fecalis,1,1,0.1,positive
Staphylococcus aureus,0.03,0.03,0.001,positive
Staphylococcus albus,0.007,0.1,0.001,positive
Streptococcus hemolyticus,0.001,14,10,positive
Streptococcus viridans,0.005,10,40,positive
Diplococcus pneumoniae,0.005,11,10,positive
