,A,B,C,D
0,0.219471071488,0.149986989004,0.00402040312575,0.352601061943
1,0.22462121108,0.339210702141,0.716657935515,0.157819617015
2,0.322362172081,0.350201767808,0.988852257182,0.332269687156
3,0.0655639606862,0.728006506326,0.237625994837,0.142294594449
4,0.892700683574,0.679181636777,0.829149567465,0.83465338437
5,0.332077386628,0.0654948540099,0.515306655711,0.847952214491
6,0.668313983983,0.69224038724,0.539697548911,0.702076471571
7,0.0507664145305,0.538005267394,0.875025291657,0.0827688855527
8,0.906670618525,0.230458283243,0.656840846285,0.556039565769
9,0.982930191431,0.368888285338,0.424902598378,0.132482351262
