country,year,pop,continent,lifeExp,gdpPercap,pop_norm
Argentina,2007,40301927,Americas,75.32,12779.379640000001,32.77910947
Bolivia,2007,9119152,Americas,65.554,3822.1370840000004,15.59234631
Brazil,2007,190010647,Americas,72.39,9065.800825,71.1743014
Canada,2007,33390141,Americas,80.653,36319.235010000004,29.83619049
Chile,2007,16284741,Americas,78.553,13171.63885,20.83649531
Colombia,2007,44227550,Americas,72.889,7006.580419,34.33844985
Costa Rica,2007,4133884,Americas,78.782,9645.06142,10.49816484
Cuba,2007,11416987,Americas,78.273,8948.102923,17.44656762
Dominican Republic,2007,9319622,Americas,72.235,6025.374752000001,15.76280103
Ecuador,2007,13755680,Americas,74.994,6873.262326000001,19.15028655
El Salvador,2007,6939688,Americas,71.878,5728.353514,13.60204532
Guatemala,2007,12572928,Americas,70.259,5186.050003,18.30848712
Haiti,2007,8502814,Americas,60.916000000000004,1201.637154,15.05620725
Honduras,2007,7483763,Americas,70.19800000000001,3548.3308460000003,14.12518867
Jamaica,2007,2780132,Americas,72.567,7320.880262000001,8.609282386
Mexico,2007,108700891,Americas,76.195,11977.57496,53.83327442
Nicaragua,2007,5675356,Americas,72.899,2749.320965,12.30072754
Panama,2007,3242173,Americas,75.53699999999999,9809.185636,9.297203501
Paraguay,2007,6667147,Americas,71.752,4172.838464,13.33227491
Peru,2007,28674757,Americas,71.421,7408.905561,27.64929854
Puerto Rico,2007,3942491,Americas,78.74600000000001,19328.70901,10.25225973
Trinidad and Tobago,2007,1056608,Americas,69.819,18008.50924,5.307514532
United States,2007,301139947,Americas,78.242,42951.65309,89.60214976
Uruguay,2007,3447496,Americas,76.384,10611.46299,9.587075117000001
Venezuela,2007,26084662,Americas,73.747,11415.805690000001,26.37101535
