"","velocity","spinrate","swing_miss"
"1",89,"1600",4.8
"2",90,"1600",1.9
"3",91,"1600",7.9
"4",93,"1600",1.8
"5",94,"1600",5.6
"6",88,"1700",5.2
"7",89,"1700",2
"8",90,"1700",5.5
"9",91,"1700",4.1
"10",92,"1700",7
"11",93,"1700",1.9
"12",94,"1700",3.9
"13",95,"1700",1.5
"14",83,"1800",0
"15",84,"1800",1.8
"16",85,"1800",0
"17",86,"1800",5.9
"18",87,"1800",5
"19",88,"1800",3.4
"20",89,"1800",3.3
"21",90,"1800",4.1
"22",91,"1800",3.7
"23",92,"1800",4.1
"24",93,"1800",4.1
"25",94,"1800",3.1
"26",95,"1800",4.7
"27",96,"1800",14
"28",83,"1900",1.1
"29",84,"1900",2.8
"30",85,"1900",0
"31",86,"1900",3.1
"32",87,"1900",2
"33",88,"1900",4.4
"34",89,"1900",4.3
"35",90,"1900",3.5
"36",91,"1900",3.9
"37",92,"1900",5.2
"38",93,"1900",5.2
"39",94,"1900",5.2
"40",95,"1900",6.6
"41",96,"1900",6.8
"42",97,"1900",4.7
"43",83,"2000",4.3
"44",84,"2000",4.5
"45",85,"2000",3.5
"46",86,"2000",2.8
"47",87,"2000",3.5
"48",88,"2000",4
"49",89,"2000",5.5
"50",90,"2000",4.6
"51",91,"2000",4.8
"52",92,"2000",5.2
"53",93,"2000",5.2
"54",94,"2000",5.6
"55",95,"2000",6.4
"56",96,"2000",5.9
"57",97,"2000",7.4
"58",98,"2000",8.2
"59",99,"2000",5.4
"60",83,"2100",11.6
"61",84,"2100",5.9
"62",85,"2100",3.4
"63",86,"2100",5.9
"64",87,"2100",4.3
"65",88,"2100",4.3
"66",89,"2100",3.5
"67",90,"2100",5
"68",91,"2100",5.4
"69",92,"2100",5.9
"70",93,"2100",6.9
"71",94,"2100",6.8
"72",95,"2100",7.3
"73",96,"2100",7.4
"74",97,"2100",7.8
"75",98,"2100",7.6
"76",99,"2100",10.2
"77",100,"2100",9.7
"78",83,"2200",10
"79",84,"2200",3.8
"80",85,"2200",5.2
"81",86,"2200",4.7
"82",87,"2200",4.9
"83",88,"2200",4.3
"84",89,"2200",5.1
"85",90,"2200",5.3
"86",91,"2200",6.5
"87",92,"2200",6.5
"88",93,"2200",6.7
"89",94,"2200",7.4
"90",95,"2200",8.1
"91",96,"2200",8.9
"92",97,"2200",8.9
"93",98,"2200",9.3
"94",99,"2200",9.1
"95",100,"2200",11.2
"96",83,"2300",5.7
"97",84,"2300",7.1
"98",85,"2300",3.6
"99",86,"2300",4
"100",87,"2300",4.6
"101",88,"2300",5.4
"102",89,"2300",5.7
"103",90,"2300",5.6
"104",91,"2300",6.8
"105",92,"2300",7.1
"106",93,"2300",7.5
"107",94,"2300",7.9
"108",95,"2300",8.7
"109",96,"2300",9.3
"110",97,"2300",9.8
"111",98,"2300",10.5
"112",99,"2300",11.2
"113",100,"2300",9.1
"114",84,"2400",10.5
"115",85,"2400",4.4
"116",86,"2400",5.9
"117",87,"2400",5.1
"118",88,"2400",7.5
"119",89,"2400",5.9
"120",90,"2400",7.5
"121",91,"2400",6.8
"122",92,"2400",7.6
"123",93,"2400",8.3
"124",94,"2400",8.5
"125",95,"2400",10.1
"126",96,"2400",10.2
"127",97,"2400",10.9
"128",98,"2400",11.7
"129",99,"2400",12.8
"130",100,"2400",14.3
"131",86,"2500",8.7
"132",87,"2500",6.6
"133",88,"2500",6.9
"134",89,"2500",6
"135",90,"2500",8.4
"136",91,"2500",7.8
"137",92,"2500",8.3
"138",93,"2500",9.6
"139",94,"2500",9.2
"140",95,"2500",10
"141",96,"2500",10.8
"142",97,"2500",12.8
"143",98,"2500",13.2
"144",99,"2500",13.4
"145",100,"2500",17.2
"146",88,"2600",8.5
"147",89,"2600",8.9
"148",90,"2600",10.3
"149",91,"2600",9.2
"150",92,"2600",8.7
"151",93,"2600",9.6
"152",94,"2600",10.9
"153",95,"2600",12
"154",96,"2600",11.3
"155",97,"2600",13.6
"156",98,"2600",13.3
"157",99,"2600",16
"158",100,"2600",18
"159",90,"2700",4.3
"160",91,"2700",7.9
"161",92,"2700",10.4
"162",93,"2700",12.2
"163",94,"2700",11.4
"164",95,"2700",12.4
"165",96,"2700",12.5
"166",97,"2700",19.2
"167",98,"2700",16.8
"168",99,"2700",19.7
